Date,Company,City,ZIP,County,Employees,Regional Commission,MSA
Mar 26,Tower 3 Champions Retreat,Evans,30809,Columbia County,45,CSRA,"Augusta-Richmond County, GA-SC"
Apr 27,"Southern Exposure Technical Services, LLC",Acworth,30101,Paulding County,4,Northwest,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 31,Stein Mart Distribution Center,Lithia Springs,30122,Douglas County,121,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 17,Perry Lane Hotel,Savannah,31401,Chatham County,100,Coastal,"Savannah, GA"
Mar 30,"Greyhound Lines, Inc.",Atlanta,30303,Fulton County,78,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 20,"NP Bay Ventures, LLC",Savannah,31401,Chatham County,27,Coastal,"Savannah, GA"
May 07,Gate Group,Atlanta,30354,Fulton County,51,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 20,"Flotel II, Inc.",Savannah,31401,Chatham County,32,Coastal,"Savannah, GA"
Mar 20,"300 West Bay, LLC",Savannah,31401,Chatham County,10,Coastal,"Savannah, GA"
Apr 20,Integrity Transformations Community Dev Corp,Atlanta,30318,Fulton County,3,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 30,Enterprise Holdings,College Park,30337,Clayton County,73,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 30,Enterprise Holdings,Sandy Springs,30328,Fulton County,110,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 30,Enterprise  Holdings,Norcross,30093,Gwinnett County,232,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 24,Coral Hospitality-GA LLC,Helen,30545,White County,69,Georgia Mountains,
Mar 24,"Coral Hospitality-GA, LLC",Young Harris,30582,Towns County,173,Georgia Mountains,
Mar 23,"Coral Hospitality-GA, LLC",Fort Gaines,39851,Clay County,25,River Valley,
Mar 23,"Coral Hospitality-GA, LLC",Cordele,31015,Crisp County,124,River Valley,"Cordele, GA"
Mar 23,"Coral Hospitality-GA, LLC",McRae,31037,Telfair County,26,Heart of Georgia,
