Area,Date,date,Claims
Calhoun County,07/25/2020,Jul 25,67
Camden County,03/07/2020,Mar 07,10
Camden County,03/14/2020,Mar 14,10
Camden County,03/21/2020,Mar 21,21
Camden County,03/28/2020,Mar 28,384
Camden County,04/04/2020,Apr 04,1264
Camden County,04/11/2020,Apr 11,774
Camden County,04/18/2020,Apr 18,772
Camden County,04/25/2020,Apr 25,778
Camden County,05/02/2020,May 02,777
Camden County,05/09/2020,May 09,805
Camden County,05/16/2020,May 16,526
Camden County,05/23/2020,May 23,471
Camden County,05/30/2020,May 30,416
Camden County,06/06/2020,Jun 06,369
Camden County,06/13/2020,Jun 13,321
Camden County,06/20/2020,Jun 20,265
Camden County,06/27/2020,Jun 27,279
Camden County,07/04/2020,Jul 04,239
Camden County,07/11/2020,Jul 11,378
Camden County,07/18/2020,Jul 18,356
Camden County,07/25/2020,Jul 25,162
Candler County,03/07/2020,Mar 07,12
Candler County,03/14/2020,Mar 14,5
Candler County,03/21/2020,Mar 21,19
Candler County,03/28/2020,Mar 28,94
Candler County,04/04/2020,Apr 04,236
Candler County,04/11/2020,Apr 11,198
Candler County,04/18/2020,Apr 18,143
Candler County,04/25/2020,Apr 25,205
Candler County,05/02/2020,May 02,140
Candler County,05/09/2020,May 09,164
Candler County,05/16/2020,May 16,147
Candler County,05/23/2020,May 23,162
Candler County,05/30/2020,May 30,64
Candler County,06/06/2020,Jun 06,82
Candler County,06/13/2020,Jun 13,116
Candler County,06/20/2020,Jun 20,104
Candler County,06/27/2020,Jun 27,95
Candler County,07/04/2020,Jul 04,107
Candler County,07/11/2020,Jul 11,102
Candler County,07/18/2020,Jul 18,79
Candler County,07/25/2020,Jul 25,53
Carroll County,03/07/2020,Mar 07,48
Carroll County,03/14/2020,Mar 14,74
Carroll County,03/21/2020,Mar 21,78
Carroll County,03/28/2020,Mar 28,1366
Carroll County,04/04/2020,Apr 04,4384
Carroll County,04/11/2020,Apr 11,2974
Carroll County,04/18/2020,Apr 18,2658
Carroll County,04/25/2020,Apr 25,2552
Carroll County,05/02/2020,May 02,2774
Carroll County,05/09/2020,May 09,2187
Carroll County,05/16/2020,May 16,1695
Carroll County,05/23/2020,May 23,1514
Carroll County,05/30/2020,May 30,1651
Carroll County,06/06/2020,Jun 06,1255
Carroll County,06/13/2020,Jun 13,1441
Carroll County,06/20/2020,Jun 20,1170
Carroll County,06/27/2020,Jun 27,1236
Carroll County,07/04/2020,Jul 04,1044
Carroll County,07/11/2020,Jul 11,1355
Carroll County,07/18/2020,Jul 18,1081
Carroll County,07/25/2020,Jul 25,889
